driver,stint,compound,tire_age,lap_number,lap_time_seconds,fuel_corrected_pace,baseline_pace,delta_pace,year,circuit
GAS,1.0,SOFT,11.0,8.0,100.684,100.243,99.96900000000001,0.2739999999999867,2022,Bahrain Grand Prix
GAS,1.0,SOFT,12.0,9.0,100.844,100.33999999999999,99.96900000000001,0.3709999999999809,2022,Bahrain Grand Prix
GAS,1.0,SOFT,13.0,10.0,100.981,100.414,99.96900000000001,0.4449999999999932,2022,Bahrain Grand Prix
GAS,1.0,SOFT,14.0,11.0,101.089,100.459,99.96900000000001,0.4899999999999949,2022,Bahrain Grand Prix
GAS,1.0,SOFT,15.0,12.0,101.347,100.654,99.96900000000001,0.6849999999999881,2022,Bahrain Grand Prix
GAS,1.0,SOFT,16.0,13.0,101.256,100.5,99.96900000000001,0.5309999999999917,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,2.0,16.0,98.705,97.76,97.81700000000001,-0.05700000000000216,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,3.0,17.0,98.868,97.86,97.81700000000001,0.042999999999992156,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,4.0,18.0,98.888,97.81700000000001,97.81700000000001,0.0,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,5.0,19.0,99.416,98.282,97.81700000000001,0.4649999999999892,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,6.0,20.0,99.134,97.937,97.81700000000001,0.11999999999999034,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,7.0,21.0,99.083,97.823,97.81700000000001,0.0059999999999860165,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,8.0,22.0,99.152,97.82900000000001,97.81700000000001,0.012000000000000455,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,9.0,23.0,99.31,97.924,97.81700000000001,0.10699999999999932,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,10.0,24.0,99.363,97.914,97.81700000000001,0.0969999999999942,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,11.0,25.0,99.485,97.973,97.81700000000001,0.1559999999999917,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,12.0,26.0,99.513,97.938,97.81700000000001,0.12099999999999511,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,13.0,27.0,99.919,98.28099999999999,97.81700000000001,0.4639999999999844,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,14.0,28.0,99.665,97.96400000000001,97.81700000000001,0.14700000000000557,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,15.0,29.0,99.677,97.91300000000001,97.81700000000001,0.09600000000000364,2022,Bahrain Grand Prix
